# TH, H, dH
0.000000000000000000e+00,2.876851599480194643e-01,-1.124393944993482128e-03
1.500000000000000000e+01,2.588406146125243334e-01,-3.520121177112061749e-03
2.500000000000000000e+01,2.173329062073499074e-01,-3.814918679249150891e-03
5.000000000000000000e+01,1.686668808806669195e-01,-1.465970645558566923e-03
1.000000000000000000e+02,6.123213431045572419e-02,-1.700269640766885210e-03
1.500000000000000000e+02,1.724291310637692670e-02,-8.183888578312907818e-04
2.000000000000000000e+02,-1.850950494855435960e-02,1.893267165514426348e-04
2.500000000000000000e+02,1.350185964287652779e-02,-1.633812161845036616e-04
3.150000000000000000e+02,-4.261981309805328022e-02,4.120842514820754056e-04
3.600000000000000000e+02,2.034014226886792648e-02,1.122456852734503210e-03
4.000000000000000000e+02,1.650695002301108723e-03,-2.277437894156037618e-03
4.200000000000000000e+02,-5.398861938634739316e-02,-2.775666174692668735e-03
4.500000000000000000e+02,-1.172453115575047833e-01,-1.550027239864251337e-03
5.000000000000000000e+02,-1.141734875939033056e-01,2.534449646386978481e-03
5.500000000000000000e+02,6.641834861004321244e-02,2.432048264369218379e-03
6.000000000000000000e+02,1.230168211124584299e-01,1.968775818517854055e-03
6.750000000000000000e+02,4.277074439013687779e-01,3.789535947630686286e-03
7.000000000000000000e+02,4.957230610696266582e-01,1.462727897521966290e-03
7.200000000000000000e+02,5.316156831016090045e-01,3.615943363766480415e-03
7.350000000000000000e+02,5.984529128252288332e-01,3.652518226997825915e-03
7.450000000000000000e+02,6.253510156191353087e-01,2.395371802150845619e-03
7.600000000000000000e+02,6.701267252309145439e-01,3.603651828362792672e-03
7.850000000000000000e+02,7.452871913868635012e-01,7.327297211206496279e-04
7.900000000000000000e+02,7.463513657978495530e-01,-3.692586202771159869e-05
7.950000000000000000e+02,7.462622351752131733e-01,5.929230630780102373e-21
